decade,genre,bad word,number of appearance
decade,genre,bad word,number of appearance
decade,genre,bad word,number of appearance
1920,Thriller,hole,1
1920,Thriller,criminal,2
1920,Thriller,murder,2
1920,Thriller,knife,2
1920,Thriller,hell,1
1920,Thriller,died,2
1920,Thriller,black,1
1920,Thriller,fire,1
1920,Thriller,burn,1
decade,genre,bad word,number of appearance
1920,Science,black,1
1920,Science,explosion,1
1920,Science,dead,5
1920,Science,destroy,2
1920,Science,coloured,1
1920,Science,drunken,1
1920,Science,murder,1
1920,Science,death,4
1920,Science,laid,1
1920,Science,attack,1
1920,Science,devil,1
1920,Science,killed,1
1920,Science,fraud,1
1920,Science,beast,3
1920,Science,premature,1
1920,Science,gun,1
1920,Science,fire,1
1920,Science,weapon,1
decade,genre,bad word,number of appearance
1920,Romance,smack,2
1920,Romance,crack,2
1920,Romance,girls,2
1920,Romance,fat,1
1920,Romance,fight,3
1920,Romance,killing,1
1920,Romance,kid,1
1920,Romance,sick,2
1920,Romance,murder,1
1920,Romance,kill,3
1920,Romance,dirty,1
1920,Romance,bigger,1
1920,Romance,lies,1
1920,Romance,fear,2
1920,Romance,liquor,1
1920,Romance,death,1
1920,Romance,dies,1
1920,Romance,sexual,1
1920,Romance,devil,1
1920,Romance,babies,1
1920,Romance,mad,1
decade,genre,bad word,number of appearance
1920,Music,smack,2
1920,Music,crack,2
1920,Music,girls,2
1920,Music,fat,1
1920,Music,fight,3
1920,Music,killing,1
1920,Music,kid,1
1920,Music,sick,1
1920,Music,murder,1
1920,Music,kill,3
1920,Music,dirty,1
1920,Music,bigger,1
decade,genre,bad word,number of appearance
1920,Horror,dead,1
1920,Horror,destroy,1
1920,Horror,terror,2
1920,Horror,death,4
1920,Horror,fear,2
1920,Horror,die,1
1920,Horror,faith,2
1920,Horror,demon,1
1920,Horror,crime,1
1920,Horror,killed,1
1920,Horror,funeral,2
1920,Horror,remains,1
1920,Horror,disease,1
1920,Horror,black,1
1920,Horror,cock,2
decade,genre,bad word,number of appearance
1920,History,dead,1
1920,History,gun,1
1920,History,shoot,1
1920,History,shooting,1
1920,History,fear,3
1920,History,killed,2
1920,History,enemy,2
1920,History,firing,1
1920,History,died,1
1920,History,die,2
1920,History,women's,1
1920,History,torture,2
1920,History,reject,1
1920,History,devil,2
1920,History,death,1
decade,genre,bad word,number of appearance
1920,Fantasy,dead,3
1920,Fantasy,destroy,1
1920,Fantasy,terror,2
1920,Fantasy,death,7
1920,Fantasy,fear,2
1920,Fantasy,die,1
1920,Fantasy,faith,2
1920,Fantasy,demon,1
1920,Fantasy,crime,1
1920,Fantasy,killed,2
1920,Fantasy,funeral,2
1920,Fantasy,fraud,1
1920,Fantasy,beast,3
1920,Fantasy,premature,1
1920,Fantasy,gun,1
1920,Fantasy,fire,1
1920,Fantasy,weapon,1
1920,Fantasy,slave,2
1920,Fantasy,fat,1
1920,Fantasy,gross,1
1920,Fantasy,remains,1
1920,Fantasy,disease,1
1920,Fantasy,black,1
1920,Fantasy,cock,2
decade,genre,bad word,number of appearance
1920,Family,slave,2
1920,Family,fat,1
1920,Family,gross,1
decade,genre,bad word,number of appearance
1920,Drama,kid,3
1920,Drama,gun,3
1920,Drama,tramp,1
1920,Drama,blow,2
1920,Drama,girls,6
1920,Drama,failed,1
1920,Drama,attack,3
1920,Drama,smack,2
1920,Drama,crack,2
1920,Drama,fat,2
1920,Drama,fight,8
1920,Drama,killing,1
1920,Drama,sick,3
1920,Drama,murder,4
1920,Drama,kill,4
1920,Drama,dirty,1
1920,Drama,bigger,1
1920,Drama,dead,9
1920,Drama,shoot,1
1920,Drama,shooting,1
1920,Drama,fear,6
1920,Drama,killed,6
1920,Drama,enemy,2
1920,Drama,firing,1
1920,Drama,died,4
1920,Drama,die,5
1920,Drama,women's,1
1920,Drama,torture,2
1920,Drama,reject,1
1920,Drama,devil,4
1920,Drama,death,9
1920,Drama,lies,1
1920,Drama,liquor,1
1920,Drama,dies,1
1920,Drama,burn,2
1920,Drama,beast,4
1920,Drama,sexual,1
1920,Drama,babies,1
1920,Drama,mad,1
1920,Drama,black,2
1920,Drama,explosion,1
1920,Drama,destroy,3
1920,Drama,coloured,1
