score,bad word,number of appearance
0,gin,2
0,died,12
0,fear,7
0,kill,28
0,girls,9
0,loser,1
0,fat,3
0,mad,8
0,funeral,3
0,fight,14
0,hole,5
0,buried,4
0,spit,1
0,stupid,10
0,angry,4
0,bugger,1
0,hell,15
0,sick,7
0,babies,3
0,kid,16
0,sex,7
0,idiot,2
0,destroy,7
0,adult,1
0,blow,12
0,crap,1
0,fire,10
0,gay,1
0,harder,1
0,drunk,2
0,sperm,1
0,damn,9
0,murder,14
0,death,24
0,killed,22
0,criminal,1
0,abortion,4
0,crime,8
0,kills,5
0,bigger,3
0,dead,17
0,color,1
0,assault,1
0,crash,1
0,suicide,1
0,god,7
0,fuck,13
0,shit,7
0,gun,5
0,pissing,1
0,illegal,6
0,balls,5
0,fucking,22
0,remains,3
0,terrorist,3
0,burn,2
0,bullshit,1
0,failed,3
0,killing,7
0,ass,6
0,black,14
0,bombs,11
0,dirty,4
0,failure,1
0,die,10
0,banging,1
0,conspiracy,1
0,fuckers,1
0,shoot,12
0,fucked,6
0,executed,1
0,bomb,18
0,hook,2
0,faith,5
0,women's,3
0,sexy,2
0,bitch,4
0,arse,1
0,fairy,4
0,doom,1
0,desire,4
0,naked,3
0,butt,5
0,screw,6
0,diddle,1
0,fart,3
0,drug,7
0,cock,4
0,masturbating,1
0,whore,1
0,tongue,4
0,pussies,1
0,shitting,1
0,devil,4
0,asshole,2
0,shooting,2
0,blind,8
0,lies,3
0,amateur,1
0,period,4
0,assholes,1
0,killer,3
0,cocktail,1
0,welfare,4
0,escort,2
0,horn,2
0,crack,2
0,disturbed,2
0,racial,1
0,refugee,5
0,attack,7
0,pot,1
0,torture,2
0,enemy,13
0,smack,1
0,blackout,1
0,piss,2
0,goddamn,1
0,toilet,1
0,dick,1
0,pussy,1
0,booty,2
0,penis,1
0,pissed,1
0,vagina,1
0,laid,3
0,queer,2
0,cigarette,1
0,poverty,4
0,bombing,2
0,cancer,1
0,raped,1
score,bad word,number of appearance
1,kill,4
1,gun,1
1,fire,1
1,enemy,1
1,torture,1
1,stupid,2
1,angry,1
1,disturbed,1
1,girls,1
1,kid,1
score,bad word,number of appearance
2,girls,4
2,bigger,22
2,mad,1
2,gun,2
2,black,3
2,colored,3
2,color,3
2,testicle,1
2,hell,7
2,killed,7
2,sick,6
