decade,score,bad word,number of appearance
decade,score,bad word,number of appearance
1920,5,smack,2
1920,5,crack,2
1920,5,girls,2
1920,5,fat,1
1920,5,fight,7
1920,5,killing,1
1920,5,kid,1
1920,5,sick,2
1920,5,murder,1
1920,5,kill,3
1920,5,dirty,1
1920,5,bigger,1
1920,5,beast,1
1920,5,killed,2
1920,5,slave,1
1920,5,blind,1
decade,score,bad word,number of appearance
1920,6,lies,1
1920,6,fear,2
1920,6,liquor,1
1920,6,death,4
1920,6,dies,1
1920,6,sexual,1
1920,6,devil,1
1920,6,babies,1
1920,6,sick,1
1920,6,mad,1
1920,6,girls,1
1920,6,die,1
1920,6,dead,4
1920,6,blow,1
1920,6,killed,1
1920,6,fraud,1
1920,6,beast,3
1920,6,premature,1
1920,6,gun,1
1920,6,fire,2
1920,6,weapon,1
1920,6,crash,1
1920,6,hole,1
1920,6,criminal,2
1920,6,murder,2
1920,6,knife,2
1920,6,hell,1
1920,6,died,2
1920,6,black,1
1920,6,burn,1
decade,score,bad word,number of appearance
1920,7,gun,2
1920,7,tramp,1
1920,7,blow,1
1920,7,girls,3
1920,7,failed,1
1920,7,attack,1
1920,7,dead,2
1920,7,shoot,1
1920,7,shooting,1
1920,7,fear,3
1920,7,killed,3
1920,7,enemy,3
1920,7,firing,1
1920,7,queer,1
1920,7,destroy,2
1920,7,lies,1
1920,7,death,4
1920,7,terror,2
1920,7,die,2
1920,7,faith,2
1920,7,demon,1
1920,7,crime,1
1920,7,funeral,2
1920,7,slave,2
1920,7,gross,1
1920,7,fat,1
1920,7,period,1
1920,7,died,1
1920,7,remains,1
1920,7,disease,1
1920,7,black,1
1920,7,cock,2
decade,score,bad word,number of appearance
1920,8,kid,2
1920,8,died,1
1920,8,die,2
1920,8,women's,1
1920,8,torture,2
1920,8,reject,1
1920,8,fear,2
1920,8,devil,3
1920,8,death,2
1920,8,burn,1
1920,8,fight,1
1920,8,attack,2
1920,8,black,1
1920,8,explosion,1
1920,8,dead,3
1920,8,destroy,2
1920,8,coloured,1
1920,8,drunken,1
1920,8,murder,1
1920,8,laid,1
1920,8,kill,1
decade,score,bad word,number of appearance
1930,3,shoot,2
1930,3,horn,8
1930,3,fire,1
1930,3,dive,1
1930,3,servant,1
1930,3,sick,1
1930,3,slave,1
1930,3,hell,2
1930,3,boom,2
1930,3,fight,4
1930,3,itch,1
1930,3,tramp,1
1930,3,suicide,1
1930,3,attack,1
1930,3,girls,2
1930,3,blind,1
1930,3,bigger,1
1930,3,hook,1
1930,3,cocktail,1
1930,3,laid,1
1930,3,kill,3
1930,3,dirty,1
1930,3,disturbed,1
1930,3,smack,1
1930,3,fear,1
decade,score,bad word,number of appearance
1930,4,queer,1
1930,4,fight,3
1930,4,firing,1
1930,4,killing,2
1930,4,disease,1
1930,4,die,4
1930,4,fire,3
1930,4,remains,1
1930,4,burn,1
1930,4,kill,5
1930,4,gun,4
1930,4,death,1
1930,4,drunken,1
1930,4,girls,3
1930,4,dead,1
1930,4,angry,1
1930,4,damn,1
1930,4,died,2
1930,4,stupid,1
1930,4,kid,5
1930,4,gay,1
1930,4,assassin,1
1930,4,narcotic,1
1930,4,heroin,1
1930,4,drug,1
1930,4,joint,1
1930,4,pot,1
1930,4,hook,2
1930,4,gross,1
1930,4,dope,1
1930,4,killed,6
1930,4,reefer,1
1930,4,knife,1
1930,4,homicide,1
1930,4,crack,2
1930,4,blow,1
1930,4,failed,1
1930,4,weapon,1
1930,4,crime,2
1930,4,murderer,1
1930,4,lies,1
1930,4,bigger,2
1930,4,servant,1
1930,4,nasty,1
1930,4,babies,2
1930,4,mad,2
1930,4,spit,1
1930,4,dirty,1
1930,4,suicide,1
decade,score,bad word,number of appearance
1930,5,queer,4
1930,5,fat,4
1930,5,died,1
1930,5,fire,16
1930,5,dirty,8
1930,5,nip,2
1930,5,kill,11
1930,5,gin,1
1930,5,swallow,1
1930,5,bigger,1
1930,5,slaughter,1
1930,5,remains,1
1930,5,scum,1
1930,5,death,8
1930,5,pistol,2
1930,5,shoot,5
1930,5,fear,9
1930,5,execution,1
1930,5,killed,9
1930,5,dead,22
1930,5,crack,2
1930,5,coloured,1
1930,5,die,10
1930,5,slave,4
1930,5,stupid,3
1930,5,god,2
1930,5,beast,1
1930,5,radical,1
1930,5,girls,2
1930,5,pot,2
1930,5,fight,8
1930,5,black,11
1930,5,escort,2
1930,5,kid,5
1930,5,jackass,1
1930,5,disturbed,2
1930,5,horn,2
1930,5,hussy,2
1930,5,spit,2
1930,5,devil,6
1930,5,chin,2
1930,5,gay,3
1930,5,sick,11
1930,5,abuse,1
1930,5,lies,4
1930,5,desire,8
1930,5,terror,2
1930,5,whiskey,2
1930,5,killer,1
1930,5,colored,1
1930,5,church,6
1930,5,bible,1
1930,5,fairy,8
1930,5,hell,3
1930,5,executed,1
1930,5,buried,4
1930,5,murder,2
1930,5,mad,3
1930,5,destroy,1
1930,5,kills,1
1930,5,laid,2
1930,5,killing,1
1930,5,chink,1
1930,5,cock,3
1930,5,servant,1
1930,5,color,2
1930,5,ass,2
1930,5,fairies,1
1930,5,faith,1
1930,5,peck,1
1930,5,tongue,2
1930,5,hole,2
1930,5,breast,2
1930,5,criminal,1
1930,5,crimes,1
1930,5,knife,1
1930,5,blow,3
1930,5,funeral,1
1930,5,dumb,3
1930,5,gun,1
1930,5,goddamn,1
1930,5,damn,1
1930,5,drug,1
1930,5,darky,1
decade,score,bad word,number of appearance
1930,6,nip,2
1930,6,bombs,4
1930,6,murder,16
1930,6,killed,46
1930,6,mad,25
1930,6,shoot,27
1930,6,shooting,10
1930,6,stupid,12
1930,6,conspiracy,1
1930,6,attack,7
1930,6,bombing,2
1930,6,remains,9
1930,6,kills,2
1930,6,black,20
1930,6,hostage,1
1930,6,enemy,21
1930,6,fight,39
1930,6,dead,44
1930,6,devil,18
1930,6,gun,8
1930,6,destroy,14
1930,6,sick,29
1930,6,lies,10
1930,6,death,43
1930,6,snatch,1
1930,6,fire,22
1930,6,girls,55
1930,6,balls,1
1930,6,cock,1
1930,6,sissy,1
1930,6,harder,5
1930,6,died,24
1930,6,desire,7
1930,6,fear,15
1930,6,drunk,18
1930,6,babe,1
1930,6,kid,15
1930,6,tongue,5
1930,6,dirty,17
1930,6,bigger,4
1930,6,fat,8
1930,6,kill,40
1930,6,colored,1
1930,6,faith,14
1930,6,blind,13
1930,6,hole,8
1930,6,burn,10
1930,6,firing,5
1930,6,sucker,4
1930,6,crash,2
1930,6,diddle,1
1930,6,buried,14
1930,6,servant,7
1930,6,laid,11
1930,6,die,35
1930,6,violence,1
1930,6,terror,5
1930,6,slaughter,3
1930,6,criminal,6
1930,6,execution,3
1930,6,poverty,1
1930,6,queer,3
1930,6,funeral,5
1930,6,drunken,2
1930,6,pot,2
1930,6,virgin,3
1930,6,children's,3
